sample_id,true_genres,pred_genres_image,outcome_image,jaccard_image,tp_image,fp_image,fn_image,pred_genres_text,outcome_text,jaccard_text,tp_text,fp_text,fn_text,pred_genres_multimodal,outcome_multimodal,jaccard_multimodal,tp_multimodal,fp_multimodal,fn_multimodal
1009920_0,Adventure|Casual|RPG|Simulation,Adventure|Casual|Simulation|Strategy,partial,0.6000,3,1,1,Adventure|Casual,partial,0.5000,2,0,2,Adventure|Casual,partial,0.5000,2,0,2
1009920_1,Adventure|Casual|RPG|Simulation,Adventure|Casual|Simulation|Strategy,partial,0.6000,3,1,1,Adventure|Casual,partial,0.5000,2,0,2,Adventure|Casual,partial,0.5000,2,0,2
1010480_0,Action,Adventure|Casual|RPG,wrong,0.0000,0,3,1,Action|Adventure|Casual,partial,0.3333,1,2,0,Action|Adventure|Casual,partial,0.3333,1,2,0
1010480_1,Action,Action|Adventure|RPG,partial,0.3333,1,2,0,Action|Adventure|Casual,partial,0.3333,1,2,0,Action|Adventure|Casual,partial,0.3333,1,2,0
1011590_0,Simulation|Strategy,Action|Simulation|Strategy,partial,0.6667,2,1,0,Strategy,partial,0.5000,1,0,1,Simulation|Strategy,exact,1.0000,2,0,0
1011590_1,Simulation|Strategy,Action|Adventure|RPG,wrong,0.0000,0,3,2,Strategy,partial,0.5000,1,0,1,Action|Strategy,partial,0.3333,1,1,1
1011670_0,Action|Adventure|Casual|Racing|Simulation,Action|Casual|Racing|Simulation|Sports,partial,0.6667,4,1,1,Adventure|Simulation,partial,0.4000,2,0,3,Action|Adventure|Casual|Simulation,partial,0.8000,4,0,1
1011670_1,Action|Adventure|Casual|Racing|Simulation,Action|Adventure|Casual,partial,0.6000,3,0,2,Adventure|Simulation,partial,0.4000,2,0,3,Action|Adventure|Casual,partial,0.6000,3,0,2
1012280_0,Action,Action|Adventure|Casual,partial,0.3333,1,2,0,Action|Adventure|Casual,partial,0.3333,1,2,0,Action|Adventure|Casual,partial,0.3333,1,2,0
1012280_1,Action,Action|Adventure|Casual,partial,0.3333,1,2,0,Action|Adventure|Casual,partial,0.3333,1,2,0,Action|Adventure|Casual,partial,0.3333,1,2,0
1015430_0,Adventure,Action|Adventure|RPG,partial,0.3333,1,2,0,Adventure|Casual|Simulation,partial,0.3333,1,2,0,Adventure|Casual|Simulation|Strategy,partial,0.2500,1,3,0
1015430_1,Adventure,Action|Adventure|Simulation,partial,0.3333,1,2,0,Adventure|Casual|Simulation,partial,0.3333,1,2,0,Adventure|Simulation|Strategy,partial,0.3333,1,2,0
1015530_0,RPG,Action|Adventure|Casual|RPG,partial,0.2500,1,3,0,Adventure|RPG,partial,0.5000,1,1,0,Action|Adventure|RPG,partial,0.3333,1,2,0
1015530_1,RPG,Adventure|Casual|RPG|Strategy,partial,0.2500,1,3,0,Adventure|RPG,partial,0.5000,1,1,0,Action|Adventure|RPG,partial,0.3333,1,2,0
1016030_0,Action|Adventure|Casual,Action|Adventure|Casual,exact,1.0000,3,0,0,Adventure|Casual,partial,0.6667,2,0,1,Action|Adventure|Casual,exact,1.0000,3,0,0
1016030_1,Action|Adventure|Casual,Action|Adventure|Casual,exact,1.0000,3,0,0,Adventure|Casual,partial,0.6667,2,0,1,Action|Adventure|Casual,exact,1.0000,3,0,0
1016650_0,Casual|Simulation,Casual|Simulation,exact,1.0000,2,0,0,Casual,partial,0.5000,1,0,1,Casual,partial,0.5000,1,0,1
1017880_0,Adventure|Casual,Adventure|Casual|RPG|Simulation,partial,0.5000,2,2,0,Adventure|Casual,exact,1.0000,2,0,0,Adventure|Casual|Simulation,partial,0.6667,2,1,0
1017880_1,Adventure|Casual,Adventure|Casual|RPG|Simulation,partial,0.5000,2,2,0,Adventure|Casual,exact,1.0000,2,0,0,Adventure|Casual|Simulation,partial,0.6667,2,1,0
1020390_0,Action|Adventure|Casual|Racing|Simulation,Action|Adventure|Casual,partial,0.6000,3,0,2,Action|Adventure|Casual,partial,0.6000,3,0,2,Action|Casual|Racing,partial,0.6000,3,0,2
1020390_1,Action|Adventure|Casual|Racing|Simulation,Action|Casual|Racing,partial,0.6000,3,0,2,Action|Adventure|Casual,partial,0.6000,3,0,2,Action|Casual,partial,0.4000,2,0,3
1021650_0,Adventure,Action|Adventure,partial,0.5000,1,1,0,Adventure,exact,1.0000,1,0,0,Action|Adventure,partial,0.5000,1,1,0
1021650_1,Adventure,Action|Adventure,partial,0.5000,1,1,0,Adventure,exact,1.0000,1,0,0,Action|Adventure,partial,0.5000,1,1,0
1028330_0,Casual,Action|Adventure|Casual,partial,0.3333,1,2,0,Adventure,wrong,0.0000,0,1,1,Adventure|Casual|Simulation,partial,0.3333,1,2,0
1028330_1,Casual,Action|Adventure|Simulation,wrong,0.0000,0,3,1,Adventure,wrong,0.0000,0,1,1,Action|Adventure,wrong,0.0000,0,2,1
1029660_0,Racing|Sports,Action|Casual|Racing|Simulation|Sports,partial,0.4000,2,3,0,Simulation|Sports,partial,0.3333,1,1,1,Casual|Racing|Simulation|Sports,partial,0.5000,2,2,0
1029660_1,Racing|Sports,Action|Casual|Simulation|Sports,partial,0.2000,1,3,1,Simulation|Sports,partial,0.3333,1,1,1,Racing|Simulation|Sports,partial,0.6667,2,1,0
1030530_0,Action|Casual|Strategy,Casual|Strategy,partial,0.6667,2,0,1,Action|Adventure|Casual,partial,0.5000,2,1,1,Casual|Strategy,partial,0.6667,2,0,1
1030530_1,Action|Casual|Strategy,Action|Adventure|Casual|Strategy,partial,0.7500,3,1,0,Action|Adventure|Casual,partial,0.5000,2,1,1,Action|Casual,partial,0.6667,2,0,1
1031660_0,Simulation|Strategy,Casual|Simulation|Strategy,partial,0.6667,2,1,0,Simulation|Strategy,exact,1.0000,2,0,0,Simulation|Strategy,exact,1.0000,2,0,0
1031660_1,Simulation|Strategy,Casual|Simulation|Sports|Strategy,partial,0.5000,2,2,0,Simulation|Strategy,exact,1.0000,2,0,0,Simulation|Strategy,exact,1.0000,2,0,0
1033330_0,Action|Adventure|RPG,Action|Adventure,partial,0.6667,2,0,1,Action|RPG|Strategy,partial,0.5000,2,1,1,Action|RPG|Strategy,partial,0.5000,2,1,1
1033330_1,Action|Adventure|RPG,Action|Adventure|Simulation,partial,0.5000,2,1,1,Action|RPG|Strategy,partial,0.5000,2,1,1,Action|RPG|Strategy,partial,0.5000,2,1,1
1038640_0,Adventure|Casual,Action|Adventure|Casual,partial,0.6667,2,1,0,Adventure|Casual,exact,1.0000,2,0,0,Adventure|Casual,exact,1.0000,2,0,0
1038640_1,Adventure|Casual,Adventure|Casual,exact,1.0000,2,0,0,Adventure|Casual,exact,1.0000,2,0,0,Adventure|Casual,exact,1.0000,2,0,0
1040370_0,Action|Casual|Sports,Action|Adventure|Casual,partial,0.5000,2,1,1,Action|Casual|Simulation|Sports,partial,0.7500,3,1,0,Action|Casual|Sports,exact,1.0000,3,0,0
1040370_1,Action|Casual|Sports,Action|Adventure|Casual,partial,0.5000,2,1,1,Action|Casual|Simulation|Sports,partial,0.7500,3,1,0,Action|Casual|Sports,exact,1.0000,3,0,0
1040720_0,Adventure,Adventure|RPG,partial,0.5000,1,1,0,Adventure|Simulation,partial,0.5000,1,1,0,Adventure|Casual|Simulation,partial,0.3333,1,2,0
1040720_1,Adventure,Action|Adventure|Casual|RPG,partial,0.2500,1,3,0,Adventure|Simulation,partial,0.5000,1,1,0,Adventure|Casual|Simulation,partial,0.3333,1,2,0
1047750_0,Action|Casual,Action|Adventure|Casual|Strategy,partial,0.5000,2,2,0,Adventure|Casual,partial,0.3333,1,1,1,Casual,partial,0.5000,1,0,1
1047750_1,Action|Casual,Action|Adventure|Casual|Strategy,partial,0.5000,2,2,0,Adventure|Casual,partial,0.3333,1,1,1,Casual,partial,0.5000,1,0,1
1048860_0,Adventure|Casual|Simulation,Casual|Racing|Simulation,partial,0.5000,2,1,1,Adventure|RPG|Simulation|Strategy,partial,0.4000,2,2,1,Adventure|RPG|Simulation,partial,0.5000,2,1,1
1048860_1,Adventure|Casual|Simulation,Action|Adventure|Casual|Simulation,partial,0.7500,3,1,0,Adventure|RPG|Simulation|Strategy,partial,0.4000,2,2,1,Adventure|Casual|RPG|Simulation|Strategy,partial,0.6000,3,2,0
1053850_0,Action,Action|Adventure|Casual|Simulation,partial,0.2500,1,3,0,Action|Casual|Racing|Sports,partial,0.2500,1,3,0,Action|Casual|Racing|Simulation|Sports,partial,0.2000,1,4,0
1053850_1,Action,Action|Adventure|Casual|Racing|Simulation,partial,0.2000,1,4,0,Action|Casual|Racing|Sports,partial,0.2500,1,3,0,Action|Casual|Racing|Sports,partial,0.2500,1,3,0
1055950_0,Adventure|RPG,Action|Adventure|Casual,partial,0.2500,1,2,1,Adventure|RPG|Strategy,partial,0.6667,2,1,0,Adventure|RPG|Strategy,partial,0.6667,2,1,0
1055950_1,Adventure|RPG,Action|Adventure|Casual,partial,0.2500,1,2,1,Adventure|RPG|Strategy,partial,0.6667,2,1,0,RPG|Strategy,partial,0.3333,1,1,1
1056750_0,RPG,Adventure|Casual|RPG,partial,0.3333,1,2,0,Action|Adventure|RPG,partial,0.3333,1,2,0,Action|Adventure|RPG,partial,0.3333,1,2,0
1056750_1,RPG,Action|Adventure|Casual|Simulation,wrong,0.0000,0,4,1,Action|Adventure|RPG,partial,0.3333,1,2,0,Action|Adventure|RPG,partial,0.3333,1,2,0
1058280_0,Action|Racing,Adventure|Casual|Simulation,wrong,0.0000,0,3,2,Action,partial,0.5000,1,0,1,Action|Casual,partial,0.3333,1,1,1
1058280_1,Action|Racing,Action|Adventure|RPG,partial,0.2500,1,2,1,Action,partial,0.5000,1,0,1,Action,partial,0.5000,1,0,1
1059160_0,Casual|Racing,Action|Adventure|Casual,partial,0.2500,1,2,1,Action|Casual|Racing,partial,0.6667,2,1,0,Action|Casual|Racing|Simulation|Sports,partial,0.4000,2,3,0
1059160_1,Casual|Racing,Action|Adventure|Casual|Racing|Simulation,partial,0.4000,2,3,0,Action|Casual|Racing,partial,0.6667,2,1,0,Action|Casual|Racing|Sports,partial,0.5000,2,2,0
1060240_0,Adventure|RPG|Strategy,Action|Adventure|Casual,partial,0.2000,1,2,2,Action|Adventure|RPG,partial,0.5000,2,1,1,Action|Adventure|Casual,partial,0.2000,1,2,2
1060240_1,Adventure|RPG|Strategy,Action|Adventure|Casual|Strategy,partial,0.4000,2,2,1,Action|Adventure|RPG,partial,0.5000,2,1,1,Action|Adventure|Casual|RPG,partial,0.4000,2,2,1
1063060_0,Action|Adventure|Casual,Action|Adventure|Casual,exact,1.0000,3,0,0,Action|Casual,partial,0.6667,2,0,1,Action|Adventure|Casual,exact,1.0000,3,0,0
1063060_1,Action|Adventure|Casual,Action|Adventure,partial,0.6667,2,0,1,Action|Casual,partial,0.6667,2,0,1,Action|Adventure|Casual,exact,1.0000,3,0,0
1064620_0,Action|Adventure,Action|Adventure|Casual,partial,0.6667,2,1,0,Adventure|RPG,partial,0.3333,1,1,1,Action|Adventure|RPG,partial,0.6667,2,1,0
1064620_1,Action|Adventure,Action|Adventure,exact,1.0000,2,0,0,Adventure|RPG,partial,0.3333,1,1,1,Action|Adventure|RPG,partial,0.6667,2,1,0
1066660_0,Adventure|RPG|Strategy,Adventure|Casual|Simulation,partial,0.2000,1,2,2,Action|Adventure|Casual,partial,0.2000,1,2,2,Adventure|Casual,partial,0.2500,1,1,2
1066660_1,Adventure|RPG|Strategy,Adventure|Casual|Strategy,partial,0.5000,2,1,1,Action|Adventure|Casual,partial,0.2000,1,2,2,Action|Casual,wrong,0.0000,0,2,3
1072870_0,Action|Casual,Action|Casual|Sports,partial,0.6667,2,1,0,Action|Casual,exact,1.0000,2,0,0,Action|Casual|Racing,partial,0.6667,2,1,0
1072870_1,Action|Casual,Casual|Simulation|Strategy,partial,0.2500,1,2,1,Action|Casual,exact,1.0000,2,0,0,Action|Casual|Strategy,partial,0.6667,2,1,0
1077210_0,Action,Action|Adventure|Simulation,partial,0.3333,1,2,0,Action|Adventure|Casual,partial,0.3333,1,2,0,Action|Adventure|Casual,partial,0.3333,1,2,0
1077210_1,Action,Action|Adventure,partial,0.5000,1,1,0,Action|Adventure|Casual,partial,0.3333,1,2,0,Action|Adventure|Casual,partial,0.3333,1,2,0
1078610_0,Action|Adventure|Casual|RPG,Action|Adventure|Casual,partial,0.7500,3,0,1,Adventure|RPG,partial,0.5000,2,0,2,Action|Adventure|RPG,partial,0.7500,3,0,1
1078610_1,Action|Adventure|Casual|RPG,Action|Adventure|Casual|Simulation,partial,0.6000,3,1,1,Adventure|RPG,partial,0.5000,2,0,2,Action|Adventure|RPG,partial,0.7500,3,0,1
1082680_0,Action|Adventure|RPG|Simulation,Action|Adventure|RPG|Simulation,exact,1.0000,4,0,0,Action|Adventure,partial,0.5000,2,0,2,Action|Adventure|Simulation,partial,0.7500,3,0,1
1082680_1,Action|Adventure|RPG|Simulation,Action|Simulation|Strategy,partial,0.4000,2,1,2,Action|Adventure,partial,0.5000,2,0,2,Action|Adventure|Simulation,partial,0.7500,3,0,1
1083350_0,Casual|Racing|Sports,Action|Adventure|Casual|Racing|Simulation|Sports,partial,0.5000,3,3,0,Action|Casual|Racing|Simulation|Sports,partial,0.6000,3,2,0,Action|Casual|Racing|Simulation|Sports,partial,0.6000,3,2,0
1083350_1,Casual|Racing|Sports,Action|Adventure|Casual,partial,0.2000,1,2,2,Action|Casual|Racing|Simulation|Sports,partial,0.6000,3,2,0,Action|Casual|Racing|Simulation|Sports,partial,0.6000,3,2,0
1085090_0,Action|Adventure|Casual|RPG|Sports,Action|Casual|Simulation|Strategy,partial,0.2857,2,2,3,Action|Casual,partial,0.4000,2,0,3,Casual,partial,0.2000,1,0,4
1085090_1,Action|Adventure|Casual|RPG|Sports,Action|Adventure|Casual|Strategy,partial,0.5000,3,1,2,Action|Casual,partial,0.4000,2,0,3,Action|Casual,partial,0.4000,2,0,3
1085390_0,Adventure|RPG|Racing|Simulation|Sports,Action|Adventure|RPG|Simulation,partial,0.5000,3,1,2,Adventure|Casual|Simulation,partial,0.3333,2,1,3,Adventure|Casual|Simulation|Sports,partial,0.5000,3,1,2
1085390_1,Adventure|RPG|Racing|Simulation|Sports,Action|Adventure|Racing|Simulation|Sports,partial,0.6667,4,1,1,Adventure|Casual|Simulation,partial,0.3333,2,1,3,Adventure|Casual|Racing|Simulation|Sports,partial,0.6667,4,1,1
1085540_0,Adventure|Strategy,Action|Adventure|Casual,partial,0.2500,1,2,1,Action|Adventure,partial,0.3333,1,1,1,Action|Adventure,partial,0.3333,1,1,1
1085540_1,Adventure|Strategy,Action|Adventure|Casual,partial,0.2500,1,2,1,Action|Adventure,partial,0.3333,1,1,1,Action|Adventure,partial,0.3333,1,1,1
1085570_0,Action|Adventure|RPG,Action|Adventure|Casual,partial,0.5000,2,1,1,Action|Adventure|RPG,exact,1.0000,3,0,0,Action|Adventure|RPG,exact,1.0000,3,0,0
1085570_1,Action|Adventure|RPG,Action|Adventure|Casual|Strategy,partial,0.4000,2,2,1,Action|Adventure|RPG,exact,1.0000,3,0,0,Action|Adventure|RPG,exact,1.0000,3,0,0
1087770_0,Casual|Simulation,Action|Adventure,wrong,0.0000,0,2,2,Action|Casual|Simulation,partial,0.6667,2,1,0,Action|Casual|Simulation|Sports,partial,0.5000,2,2,0
1087770_1,Casual|Simulation,Action|Adventure|Casual,partial,0.2500,1,2,1,Action|Casual|Simulation,partial,0.6667,2,1,0,Casual|Sports,partial,0.3333,1,1,1
1090800_0,Simulation,Action|Adventure|Casual|Simulation,partial,0.2500,1,3,0,Action|Adventure|Simulation,partial,0.3333,1,2,0,Action|Adventure|Simulation,partial,0.3333,1,2,0
1090800_1,Simulation,Action|Adventure|Simulation,partial,0.3333,1,2,0,Action|Adventure|Simulation,partial,0.3333,1,2,0,Action|Adventure|Simulation,partial,0.3333,1,2,0
1091690_0,Action|Adventure,Action|Adventure|Casual|RPG,partial,0.5000,2,2,0,Action|Casual,partial,0.3333,1,1,1,Action|Casual,partial,0.3333,1,1,1
1091690_1,Action|Adventure,Action|Adventure|Casual,partial,0.6667,2,1,0,Action|Casual,partial,0.3333,1,1,1,Action|Adventure|Casual,partial,0.6667,2,1,0
1093850_0,Casual|Simulation|Sports,Action|Adventure|Casual,partial,0.2000,1,2,2,Action|Casual,partial,0.2500,1,1,2,Action|Casual|Sports,partial,0.5000,2,1,1
1093850_1,Casual|Simulation|Sports,Action|Adventure|Casual,partial,0.2000,1,2,2,Action|Casual,partial,0.2500,1,1,2,Action|Casual|Simulation|Sports,partial,0.7500,3,1,0
1096760_0,Action|Adventure|Casual|Simulation,Action|Adventure|Casual|Simulation,exact,1.0000,4,0,0,Action|Casual|Sports,partial,0.4000,2,1,2,Action|Casual|Racing|Sports,partial,0.3333,2,2,2
1096760_1,Action|Adventure|Casual|Simulation,Action|Adventure|Casual,partial,0.7500,3,0,1,Action|Casual|Sports,partial,0.4000,2,1,2,Action|Casual|Racing|Sports,partial,0.3333,2,2,2
1102410_0,Simulation,Adventure|Casual,wrong,0.0000,0,2,1,Adventure|Casual,wrong,0.0000,0,2,1,Adventure|Casual,wrong,0.0000,0,2,1
1102410_1,Simulation,Adventure|Casual,wrong,0.0000,0,2,1,Adventure|Casual,wrong,0.0000,0,2,1,Adventure|Casual,wrong,0.0000,0,2,1
1106880_0,Action|Adventure,Action|Adventure|Casual|RPG,partial,0.5000,2,2,0,Action|Adventure|RPG|Strategy,partial,0.5000,2,2,0,Action|Adventure|RPG|Strategy,partial,0.5000,2,2,0
1106880_1,Action|Adventure,Action|Adventure|Casual|RPG|Simulation|Strategy,partial,0.3333,2,4,0,Action|Adventure|RPG|Strategy,partial,0.5000,2,2,0,Action|Casual|RPG|Strategy,partial,0.2000,1,3,1
1107100_0,Adventure,Action|Adventure|Casual,partial,0.3333,1,2,0,Action|Adventure|Casual|Simulation,partial,0.2500,1,3,0,Action|Adventure,partial,0.5000,1,1,0
1107100_1,Adventure,Action|Adventure|Casual,partial,0.3333,1,2,0,Action|Adventure|Casual|Simulation,partial,0.2500,1,3,0,Action|Adventure|Casual,partial,0.3333,1,2,0
1110620_0,Adventure,Action|Adventure|Casual,partial,0.3333,1,2,0,Casual|Strategy,wrong,0.0000,0,2,1,Casual,wrong,0.0000,0,1,1
1110620_1,Adventure,Action|Adventure|Casual,partial,0.3333,1,2,0,Casual|Strategy,wrong,0.0000,0,2,1,Casual,wrong,0.0000,0,1,1
1114870_0,Action|Adventure|RPG,Adventure|Casual|RPG|Strategy,partial,0.4000,2,2,1,Action|Adventure|RPG,exact,1.0000,3,0,0,Adventure|RPG|Strategy,partial,0.5000,2,1,1
1114870_1,Action|Adventure|RPG,Casual|RPG|Strategy,partial,0.2000,1,2,2,Action|Adventure|RPG,exact,1.0000,3,0,0,Adventure|RPG|Strategy,partial,0.5000,2,1,1
1120160_0,Casual,Action|Casual,partial,0.5000,1,1,0,Action|Adventure|Casual,partial,0.3333,1,2,0,Action|Casual,partial,0.5000,1,1,0
1120160_1,Casual,Action|Casual,partial,0.5000,1,1,0,Action|Adventure|Casual,partial,0.3333,1,2,0,Action|Casual,partial,0.5000,1,1,0
1120210_0,Simulation|Strategy,Action|RPG|Strategy,partial,0.2500,1,2,1,Action|Strategy,partial,0.3333,1,1,1,Action|Strategy,partial,0.3333,1,1,1
1120210_1,Simulation|Strategy,Action|Casual|Simulation|Strategy,partial,0.5000,2,2,0,Action|Strategy,partial,0.3333,1,1,1,Action|Simulation|Strategy,partial,0.6667,2,1,0
1124810_0,Action|Adventure|Strategy,Action|Adventure,partial,0.6667,2,0,1,Action|Adventure|Casual|Strategy,partial,0.7500,3,1,0,Action|Casual|Strategy,partial,0.5000,2,1,1
1124810_1,Action|Adventure|Strategy,Action|Adventure,partial,0.6667,2,0,1,Action|Adventure|Casual|Strategy,partial,0.7500,3,1,0,Action|Casual|RPG|Strategy,partial,0.4000,2,2,1
1131590_0,Adventure|Casual|RPG|Simulation|Strategy,Action|Casual,partial,0.1667,1,1,4,Casual|Simulation,partial,0.4000,2,0,3,Casual|Simulation,partial,0.4000,2,0,3
1131590_1,Adventure|Casual|RPG|Simulation|Strategy,Action|Adventure|Casual,partial,0.3333,2,1,3,Casual|Simulation,partial,0.4000,2,0,3,Casual|Simulation,partial,0.4000,2,0,3
1132910_0,Action|Adventure,Action|Adventure|Casual,partial,0.6667,2,1,0,Action|Adventure|RPG,partial,0.6667,2,1,0,Action|Adventure,exact,1.0000,2,0,0
1132910_1,Action|Adventure,Action|Adventure|Casual|Simulation|Strategy,partial,0.4000,2,3,0,Action|Adventure|RPG,partial,0.6667,2,1,0,Action|Adventure,exact,1.0000,2,0,0
1135760_0,Action|Casual|Strategy,Adventure|Casual,partial,0.2500,1,1,2,Action|Casual,partial,0.6667,2,0,1,Casual|Strategy,partial,0.6667,2,0,1
1137690_0,Action|Adventure,Action|Adventure|Casual|RPG|Strategy,partial,0.4000,2,3,0,Action|Adventure,exact,1.0000,2,0,0,Action|Casual,partial,0.3333,1,1,1
1137690_1,Action|Adventure,Action|Adventure|Casual|RPG,partial,0.5000,2,2,0,Action|Adventure,exact,1.0000,2,0,0,Action|Adventure|Casual,partial,0.6667,2,1,0
1140020_0,Action|Adventure|RPG,Action|Adventure|Casual|Simulation,partial,0.4000,2,2,1,Action|Adventure|RPG,exact,1.0000,3,0,0,Action|Adventure|Casual|Simulation,partial,0.4000,2,2,1
1140020_1,Action|Adventure|RPG,Action|Adventure|Casual|Simulation,partial,0.4000,2,2,1,Action|Adventure|RPG,exact,1.0000,3,0,0,Action|Adventure|Casual|RPG|Simulation,partial,0.6000,3,2,0
1141850_0,Action,Action|Adventure|RPG|Strategy,partial,0.2500,1,3,0,Action|Adventure|Casual|Racing,partial,0.2500,1,3,0,Action|Casual,partial,0.5000,1,1,0
1141850_1,Action,Action|Adventure|RPG|Strategy,partial,0.2500,1,3,0,Action|Adventure|Casual|Racing,partial,0.2500,1,3,0,Action|Adventure|Casual,partial,0.3333,1,2,0
1142070_0,Action|Adventure|Casual|RPG,Action|Adventure|Casual,partial,0.7500,3,0,1,Action|Adventure|RPG,partial,0.7500,3,0,1,Action|Adventure,partial,0.5000,2,0,2
1142070_1,Action|Adventure|Casual|RPG,Action|Adventure|Casual,partial,0.7500,3,0,1,Action|Adventure|RPG,partial,0.7500,3,0,1,Action|Adventure|RPG,partial,0.7500,3,0,1
1143800_0,Adventure|Casual|Simulation|Strategy,Action|Adventure|Casual,partial,0.4000,2,1,2,Casual|Simulation,partial,0.5000,2,0,2,Casual|Simulation,partial,0.5000,2,0,2
1143800_1,Adventure|Casual|Simulation|Strategy,Casual|Simulation|Strategy,partial,0.7500,3,0,1,Casual|Simulation,partial,0.5000,2,0,2,Casual|Simulation,partial,0.5000,2,0,2
1145460_0,Casual|RPG|Simulation,Adventure|Casual,partial,0.2500,1,1,2,Adventure|Casual|Simulation,partial,0.5000,2,1,1,Adventure|Casual|Simulation,partial,0.5000,2,1,1
1145460_1,Casual|RPG|Simulation,Adventure|Casual|Simulation,partial,0.5000,2,1,1,Adventure|Casual|Simulation,partial,0.5000,2,1,1,Adventure|Casual|Simulation,partial,0.5000,2,1,1
1151050_0,Action|Casual|Racing|Sports,Action|Adventure|Casual|Simulation,partial,0.3333,2,2,2,Action|Casual|Racing,partial,0.7500,3,0,1,Action|Casual|Racing|Sports,exact,1.0000,4,0,0
1151050_1,Action|Casual|Racing|Sports,Action|Adventure|Casual|Racing|Simulation,partial,0.5000,3,2,1,Action|Casual|Racing,partial,0.7500,3,0,1,Action|Casual|Racing|Sports,exact,1.0000,4,0,0
1151930_0,Action|Casual,Action|Adventure|Casual|Strategy,partial,0.5000,2,2,0,Action|Adventure|Casual,partial,0.6667,2,1,0,Action|Casual|Strategy,partial,0.6667,2,1,0
1151930_1,Action|Casual,Action|Adventure|Casual|Strategy,partial,0.5000,2,2,0,Action|Adventure|Casual,partial,0.6667,2,1,0,Action|Casual|Strategy,partial,0.6667,2,1,0
